Name,Price,Reviews,Size,Category,Rating,bath-personal-care,beauty,grocery,healthy-home,pets,sports-nutrition,supplements
"Now Foods, Natural Resveratrol, 200 mg, 120 Veg Capsules",36.94,3239.0,0.2,supplements,4.6,0,0,0,0,0,0,1
"Life Extension, Magnesium (Citrate), 100 mg, 100 Vegetarian Capsules",14.78,5134.0,0.1,supplements,4.8,0,0,0,0,0,0,1
"Solaray, Tongkat Ali, 400 mg, 60 VegCaps",9.77,446.0,0.4,supplements,4.5,0,0,0,0,0,0,1
"Natural Factors, BioCoenzymated, B6, Pyridoxal 5'-Phosphate, 50 mg, 30 Vegetarian Capsules",7.28,1518.0,0.05,supplements,4.8,0,0,0,0,0,0,1
"Now Foods, Double Strength Silymarin, 300 mg, 100 Veg Capsules",19.19,17209.0,0.3,supplements,4.7,0,0,0,0,0,0,1
"Jarrow Formulas, Lactoferrin, Freeze Dried, 250 mg, 60 Capsules",53.79,2340.0,0.25,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Buffered Vitamin C Capsules, 750 mg, 60 Veggie Capsules",7.78,7277.0,0.75,supplements,4.9,0,0,0,0,0,0,1
"YumEarth, Organic Vitamin C Drops, Citrus Grove, 3.3 oz (93.5 g)",4.29,5613.0,93.5,supplements,4.8,0,0,0,0,0,0,1
"California Gold Nutrition, Curcumin C3 Complex with BioPerine, 500 mg, 120 Veggie Capsules ",45.11,2615.0,0.5,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Bee Propolis 2X, Concentrated Extract, 500 mg, 240 Veggie Caps",24.89,9355.0,0.5,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, Chlorella, 1,000 mg, 120 Tablets",22.15,3709.0,0.0,supplements,4.7,0,0,0,0,0,0,1
"California Gold Nutrition, Fisetin with Novusetin, 100 mg, 30 Veggie Capsules",21.78,412.0,0.1,supplements,4.5,0,0,0,0,0,0,1
"Now Foods, Ubiquinol, 100 mg, 120 Softgels",62.81,2672.0,0.1,supplements,4.7,0,0,0,0,0,0,1
"21st Century, Iron, 65 mg, 120 Tablets",5.79,3233.0,0.065,supplements,4.6,0,0,0,0,0,0,1
"Now Foods, E-400 with Mixed Tocopherols, 268 mg (400 IU), 250 Softgels",36.94,1601.0,0.268,supplements,4.7,0,0,0,0,0,0,1
